Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
,11/30/2022,6:15 PM,7:30 PM,>Boys>Boys 7th Grade Division 1>McLean B7-1 Leggett,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 2>CYA B7-* Baltazar,,,69,36,7388676,,
,11/30/2022,6:45 PM,8:00 PM,>Boys>Boys 8th Grade Division 2 >Gum Springs B8-2 Smith,Bryant Center,Game,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Davis,,,49,70,7388358,,
,11/30/2022,7:00 PM,8:15 PM,>Boys>Boys 7th Grade Division 3>Herndon B7-3 Starinieri,Jackson MS rear gym,Game,>Boys>Boys 7th Grade Division 3>Fort Hunt B7-3 Loving,,,26,48,7389031,,
,11/30/2022,7:30 PM,8:45 PM,>Boys>Boys 7th Grade Division 1>South County B7-1 Brown,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 1>Arlington B7-1 Lowen,,,55,44,7388677,,
,11/30/2022,8:00 PM,9:15 PM,>Boys>Boys 8th Grade Division 2 >Herndon B8-2 Mendelsohn,Bryant Center,Game,>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Zippel,,,35,32,7388360,,
,11/30/2022,8:15 PM,9:30 PM,>Boys>Boys 7th Grade Division 3>SYA B7-3 Sorg,Jackson MS rear gym,Game,>Boys>Boys 7th Grade Division 3>Great Falls B7-3 Conver,,,38,34,7389033,,
,11/30/2022,8:45 PM,10:00 PM,>Boys>Boys 7th Grade Division 1>Reston  B7-1 Douad,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 2>Burke B7-* Shouman,,,55,23,7388678,,
,12/01/2022,6:45 PM,8:00 PM,>Boys>Boys 7th Grade Division 3>Springfield B7- 3 Carroll,Bryant Center,Game,>Boys>Boys 7th Grade Division 3>Annandale B7-3 Gregory,,,17,26,7389034,,
,12/01/2022,8:00 PM,9:15 PM,>Boys>Boys 7th Grade Division 3>Reston  B7-3 Schlesinger,Bryant Center,Game,>Boys>Boys 7th Grade Division 3>CYA B7-3 Hackney,,,21,37,7389032,,
,12/03/2022,8:45 AM,9:45 AM,>Boys>Boys 5th grade Division 2>Arlington B5 -2 Farrell /Mah,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 5th grade Division 2>BRYC B5-2  Shin,use door 11 located back of school,,30,28,7384852,,
,12/03/2022,9:00 AM,10:15 AM,>Girls>Girls 6th Grade Division 1>McLean G6-1 Hazzan,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>CYA G6-1 Nichols,,,20,26,7389991,,
,12/03/2022,9:00 AM,10:15 AM,>Boys>Boys 5th grade Division 1>BRYC B5-1 Webb,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 1>Burke B5-1 Jackson,,,39,33,7384835,,
,12/03/2022,9:00 AM,10:15 AM,>Boys>Boys 5th grade Division 3>Burke B5-3 Hess,Liberty MS-#2,Game,>Boys>Boys 5th grade Division 2>CYA B5-2 Goodman,,,29,41,7384856,,
,12/03/2022,9:00 AM,10:15 AM,>Girls>Girls 6th Grade Division 1>Gainesville G6-1 Murray,Bryant Center,Game,>Girls>Girls 6th Grade Division 1>Fort Hunt G6-1 Harris,,,27,26,7389989,,
,12/03/2022,10:00 AM,11:00 AM,>Girls>Girls 5th grade Division 2>Annandale G5-2 Anderson,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 5th grade Division 2>Arlington G5-2 Wishneff,no zone,,12,24,7384815,,
,12/03/2022,10:15 AM,11:30 AM,>Boys>Boys 5th grade Division 3>SYA B5-3  Vickers,Liberty MS-#2,Game,>Boys>Boys 5th grade Division 1>Vienna B5-1 Simpson,,,17,44,7384869,,
,12/03/2022,10:15 AM,11:30 AM,>Boys>Boys 5th grade Division 1>Great Falls B5-1 Bovenzi,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 1>McLean B5-1 Sweeny,,,47,36,7384841,,
,12/03/2022,10:15 AM,11:30 AM,>Girls>Girls 6th Grade Division 2>Turnpike G6-2 Conklin,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>DYS G6-1* Cook,,,6,38,7390056,,
,12/03/2022,10:15 AM,11:30 AM,>Girls>Girls 6th Grade Division 2>SYA G6 -* Johnson,Bryant Center,Game,>Girls>Girls 6th Grade Division 1>Burke G6-1 Buttery,,,14,23,7389990,,
,12/03/2022,11:15 AM,12:15 PM,>Girls>Girls 5th grade Division 1>Arlington G5-1 Robins,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 5th grade Division 1>BRYC G5-1 Murphy,use door 11 located back of school,,33,12,7384803,,
,12/03/2022,11:30 AM,12:45 PM,>Boys>Boys 6th Grade Division 1>Vienna B6-1 Nmah,Jackson MS-Front gym,Game,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,,,28,19,7390289,,
,12/03/2022,11:30 AM,12:45 PM,>Girls>Girls 5th grade Division 2>SYA G5-2 Trullender,Liberty MS-#1,Game,>Girls>Girls 5th grade Division 2>Vienna G5-2 Korman,no zone,,9,38,7384827,,
,12/03/2022,11:30 AM,12:45 PM,>Boys>Boys 5th grade Division 2>Reston B5-2 Brooks,Liberty MS-#2,Game,>Boys>Boys 5th grade Division 1>SYA B5-1 Ball,,,18,50,7384844,,
,12/03/2022,11:30 AM,12:45 PM,>Delete Division>Herndon B6-3 Smith dropped,Bryant Center,Game,>Boys>Boys 6th Grade Division 3>Lee-Mt. Vernon B6-3 Degenhardt,,,6,41,7390176,,
,12/03/2022,12:30 PM,1:30 PM,>Boys>Boys 5th grade Division 1>Arlington B5-1 Sadaka,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 5th grade Division 2>BRYC B5-2  Hoagland,use door 11 located back of school,,51,27,7384832,,
,12/03/2022,12:45 PM,2:00 PM,>Girls>Girls 5th grade Division 1>Fort Hunt G5-1Mathes,Liberty MS-#1,Game,>Girls>Girls 5th grade Division 2>FPYC G5-2 Anderson,no zone,,36,8,7384821,,
,12/03/2022,12:45 PM,2:00 PM,>Girls>Girls 5th grade Division 1>Great Falls G5-1 Rewalt,Liberty MS-#2,Game,>Girls>Girls 5th grade Division 2>Lee-Mt.Vernon G5-2  Allen,,,37,4,7384809,,
,12/03/2022,12:45 PM,2:00 PM,>Girls>Girls 6th Grade Division 1>Vienna G6-1 Amouri,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>Vienna G6-1 Brooks,,,36,16,7389992,,
,12/03/2022,12:45 PM,2:00 PM,>Boys>Boys 6th Grade Division 3>FPYC B6-3 Ragan,Bryant Center,Game,>Boys>Boys 6th Grade Division 3>Annandale B6-3 Hwang,,,33,16,7390175,,
,12/03/2022,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 2 >Gum Springs B8-2 Smith,Gum Springs CC,Game,>Boys>Boys 8th Grade Division 2 >Fort Belvoir B8-2 Taylor,,,68,33,7388382,,
,12/03/2022,1:45 PM,2:45 PM,>Girls>Girls 7th Grade Division 2>Arlington G7-2 Scarcella,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 7th Grade Division 1>Arlington G  Sedor,use door 11 located back of school,,5,37,7389771,,
,12/03/2022,2:00 PM,3:15 PM,>Girls>Girls 5th grade Division 1>Vienna G5-1 Korman,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>McLean G5-1 McNicoll,,,30,30,7384812,,
,12/03/2022,2:00 PM,3:15 PM,>Boys>Boys 6th Grade Division 2>Falls Church B6-2 Greiner,Bryant Center,Game,>Boys>Boys 6th Grade Division 1>Turnpike B6- Ours,,,25,50,7390494,,
,12/03/2022,2:30 PM,3:45 PM,>Boys>Boys 6th Grade Division 3>Fort Belvoir B6-3 Serm,Gum Springs CC,Game,>Boys>Boys 6th Grade Division 3>BRYC B6-3 Brown.,,,17,34,7390177,,
,12/03/2022,2:50 PM,4:00 PM,>Girls>Girls 5th grade Division 2>CYA G5-2  Wilke,Willard Middle School ,Game,>Girls>Girls 5th grade Division 1>DYS G5-1 Samson,,,4,31,7384806,,I concur (Nathan Wilke).
,12/03/2022,3:00 PM,4:00 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Thomas,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 6th Grade Division 1>Arlington G6-* Gary,use door 11 located back of school,,2,33,7390053,,
,12/03/2022,3:00 PM,4:15 PM,>Boys>Boys 5th grade Division 2>Manassas Park B5-2 Toth,Manassas Park CC - #1,Game,>Boys>Boys 5th grade Division 3>Herndon B5-3 Sevila,,,24,16,7384875,,
,12/03/2022,3:15 PM,4:30 PM,>Boys>Boys 6th Grade Division 2>Gainesville B6-2 Siguere,Bryant Center,Game,>Boys>Boys 6th Grade Division 2>Springfield B6-2 Osborne,,,36,17,7390495,,
,12/03/2022,3:15 PM,4:30 PM,>Boys>Boys 5th grade Division 1>Gainesville B5-1 Bauer,Jackson MS-Front gym,Game,>Boys>Boys 5th grade Division 2>Fort Hunt B5-2 Blanton,,,42,27,7384840,,
,12/03/2022,3:15 PM,4:30 PM,>Boys>Boys 6th Grade Division 1>CYA B6-1 McNutt,Hayfield HS-#1,Game,>Boys>Boys 6th Grade Division 1>BRYC B6-1 Mitchell,,,48,51,7390286,, Double overtime 
,12/03/2022,3:15 PM,4:30 PM,>Girls>Girls 6th Grade Division 2>Gainesville G6-2 Hiltner,Hayfield HS-#2,Game,>Girls>Girls 6th Grade Division 2>McLean G6-2 Morneau,,,12,7,7390054,,
,12/03/2022,3:45 PM,5:00 PM,>Boys>Boys 6th Grade Division 3>Gum Springs B6-3 Cordisco,Gum Springs CC,Game,>Boys>Boys 6th Grade Division 3>Manassas Park B6 3 Legions,,,36,40,7390178,,
,12/03/2022,4:00 PM,5:10 PM,>Girls>Girls 5th grade Division 2>BRYC G5-2  Larson,Willard Middle School ,Game,>Girls>Girls 5th grade Division 2>DYS G5-2 Ranone,no zone,,4,33,7384818,,Game at Willard MS (not an option in drop-down)
,12/03/2022,4:15 PM,5:30 PM,>Boys>Boys 6th Grade Division 2>Lee District B6-2 Diffenbach,Jefferson HS-#2,Game,>Boys>Boys 6th Grade Division 2>McLean B6-2 Klett,,,26,16,7390497,,
,12/03/2022,4:15 PM,5:30 PM,>Boys>Boys 8th Grade Division 2 >Manassas Park B8-2 Gaskins,Manassas Park CC - #1,Game,>Boys>Boys 8th Grade Division 2 >CYA B8-2 Weinstein,,,50,33,7388385,,
,12/03/2022,4:30 PM,5:45 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Casey,Bryant Center,Game,>Boys>Boys 6th Grade Division 2>SYA B6-2 Purdy,,,47,45,7390496,,
,12/03/2022,4:30 PM,5:45 PM,>Girls>Girls 6th Grade Division 2>Great Falls G6-2 Lonnett/Outlaw,Hayfield HS-#2,Game,>Girls>Girls 6th Grade Division 2>Herndon G6-2 Williams,,,33,16,7390057,,
,12/03/2022,4:30 PM,5:45 PM,>Boys>Boys 6th Grade Division 1>Lee-Mt. Vernon B6-1 Davis,Hayfield HS-#1,Game,>Boys>Boys 6th Grade Division 1>McLean B6-1 Tallent,,,41,21,7390290,,
,12/03/2022,5:10 PM,6:20 PM,>Boys>Boys 5th grade Division 3>DYS B5 -3 Armstrong,Willard Middle School ,Game,>Boys>Boys 5th grade Division 3>Gainesville B5-3  Penn,,,39,36,7384872,,
,12/03/2022,5:30 PM,6:45 PM,>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Hankins,Jefferson HS-#2,Game,>Boys>Boys 6th Grade Division 2>South County B6-2 Coleman,,,28,23,7390499,,
,12/03/2022,5:30 PM,6:45 PM,>Boys>Boys 8th Grade Division 3>Lee-Mt. Vernon B8-3 Henderson,Manassas Park CC - #1,Game,>Boys>Boys 8th Grade Division 3>Manassas Park B8- 3 Hockman,,,,,7388781,,
,12/03/2022,5:45 PM,7:00 PM,>Girls>Girls 6th Grade Division 2>CYA G6-2 Ballam ,Hayfield HS-#2,Game,>Girls>Girls 6th Grade Division 2>Annandale G6-2 Williams,,,33,27,7390055,,
,12/03/2022,5:45 PM,7:00 PM,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Wilson,Hayfield HS-#1,Game,>Boys>Boys 6th Grade Division 1>Reston B6-1 Laureano,,,37,43,7390287,,
,12/03/2022,6:20 PM,7:35 PM,>Boys>Boys 5th grade Division 2>DYS B5 -2 Venia,Willard Middle School ,Game,>Boys>Boys 5th grade Division 2>FPYC B5-2 Plummer,,,24,30,7384858,,
,12/03/2022,6:45 PM,8:00 PM,>Boys>Boys 6th Grade Division 2>CYA B6-2 Kim,Jefferson HS-#2,Game,>Boys>Boys 6th Grade Division 2>Vienna B6-2 Powell.,,,16,40,7390498,,
,12/04/2022,11:00 AM,12:15 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Thomas,Westfield HS-left ,Game,>Girls>Girls 6th Grade Division 2>Turnpike G6-2 Conklin,,,28,4,7390063,,
,12/04/2022,11:45 AM,12:45 PM,>Girls>Girls 7th Grade Division 2>Arlington G7-2 Scarcella,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 7th Grade Division 2>SYA G7-2 Henryhand,use door 11 located back of school,,7,31,7389774,,
,12/04/2022,12:00 PM,1:15 PM,>Boys>Boys 8th Grade Division 1>Arlington B8-1 McLean,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>CYA B8-1 Rosenblatt,,,49,56,7387166,,
,12/04/2022,12:00 PM,1:15 PM,>Girls>Girls 8th Grade Division 2>Lee District G8- 2 Tickner,Edison HS - Aux,Game,>Girls>Girls 8th Grade Division 2>Burke G8-2 Zahui,,,47,17,7387742,, Good start to the season.  Both teams played really tough.  Refs did a really nice job as well.  Looking forward to a fun year and seeing all the teams improve.   
,12/04/2022,12:00 PM,1:15 PM,>Boys>Boys 5th grade Division 2>Lee-Mt. Vernon B5-2 Black,Bryant Center,Game,>Boys>Boys 5th grade Division 2>McLean B5-2 Cecere,,,27,38,7384866,,
,12/04/2022,12:00 PM,1:15 PM,>Boys>Boys 8th Grade Division 2 >Vienna B8-2 Desenti,South County MS - Main,Game,>Boys>Boys 8th Grade Division 2 >South County B8-2 Miller,,,42,44,7388387,,
,12/04/2022,12:00 PM,1:15 PM,>Boys>Boys 6th Grade Division 3>Gum Springs B6-3 Cordisco,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 3>BRYC B6-3 Brown.,,,36,22,7390169,,
,12/04/2022,12:00 PM,1:15 PM,>Girls>Girls 8th Grade Division 1>SYA G8-1 Andersen,Edison HS - Main,Game,>Girls>Girls 8th Grade Division 1>CYA G8-1 Dowling,,,47,36,7387241,,
,12/04/2022,12:15 PM,1:30 PM,>Girls>Girls 6th Grade Division 2>McLean G6-2 Morneau,Westfield HS-left ,Game,>Girls>Girls 6th Grade Division 2>CYA G6-2 Ballam ,,,28,16,7390064,,
,12/04/2022,1:00 PM,2:15 PM,>Girls>Girls 6th Grade Division 1>DYS G6-1* Cook,South Lakes HS Right,Game,>Girls>Girls 6th Grade Division 2>Herndon G6-2 Williams,,,27,17,7390067,,
,12/04/2022,1:00 PM,2:00 PM,>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Langone,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 7th Grade Division 1>Arlington G7-1 Kaufman,use door 11 located back of school,,30,26,7389656,,
,12/04/2022,1:00 PM,2:15 PM,>Girls>Girls 7th Grade Division 1>Vienna G7-1 Yoder,Hayfield HS-#1,Game,>Girls>Girls 7th Grade Division 1>Burke G7-1 Jones,,,29,22,7389653,,
,12/04/2022,1:00 PM,2:15 PM,>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Estenson,Hayfield HS-#2,Game,>Boys>Boys 7th Grade Division 2>McLean B7-2 Berusch,,,49,33,7389858,,
,12/04/2022,1:00 PM,2:15 PM,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,West Springfield-#2,Game,>Boys>Boys 6th Grade Division 1>Arlington B6-1 Escherick,,,31,47,7390299,,
,12/04/2022,1:00 PM,2:15 PM,>Boys>Boys 8th Grade Division 2 >Mt. Vernon B8-2 Woodhall,West Springfield-Main,Game,>Boys>Boys 8th Grade Division 3>SYA B8-* White,,,59,25,7388380,,
,12/04/2022,1:00 PM,2:15 PM,>Girls>Girls 8th Grade Division 2>Reston G8-2 Altamirano,South Lakes HS left,Game,>Girls>Girls 8th Grade Division 2>Turnpike G8-2 Zucker,,,36,3,7387743,,Officials did a great job.
,12/04/2022,1:15 PM,2:30 PM,>Girls>Girls 8th Grade Division 2>Mt. Vernon G8-2 Gorman,Edison HS - Aux,Game,>Girls>Girls 8th Grade Division 2>Vienna G8- 2 Tomlinson,,,11,25,7387745,,
,12/04/2022,1:15 PM,2:30 PM,>Boys>Boys 5th grade Division 1>CYA B5-1 Batta,Bryant Center,Game,>Boys>Boys 5th grade Division 1>DYS B5-1 Mulhern,,,63,23,7384838,,
,12/04/2022,1:15 PM,2:30 PM,>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Garey,Edison HS - Main,Game,>Girls>Girls 8th Grade Division 1>Burke G8-1 Zahui.,,,52,44,7387243,,
,12/04/2022,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 3>SYA B7-3 Sorg,South County MS - Main,Game,>Boys>Boys 7th Grade Division 3>Fort Hunt B7-3 Loving,,,22,42,7389039,,
,12/04/2022,1:15 PM,2:30 PM,>Boys>Boys 6th Grade Division 1>Gainesville B6-1 Torco,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 1>McLean B6-1 Tallent,,,44,22,7390300,,
,12/04/2022,1:15 PM,2:15 PM,>Girls>Girls 6th Grade Division 1>McLean G6-1 Hazzan,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>Vienna G6-1 Brooks,,,32,31,7390000,,
,12/04/2022,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 1>Lee-Mt. Vernon B8-1 Bosley,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>Vienna B8-1 Marsden,,,42,69,7387168,,
,12/04/2022,1:30 PM,2:45 PM,>Girls>Girls 6th Grade Division 2>BRYC G6-2 Suddarth,Westfield HS-left ,Game,>Girls>Girls 6th Grade Division 2>Annandale G6-2 Williams,,,18,21,7390066,,
,12/04/2022,1:45 PM,3:00 PM,>Boys>Boys 5th grade Division 1>Vienna B5-1 Locey,Gainesville HS side ,Game,>Boys>Boys 5th grade Division 1>Gainesville B5-1 Bauer,,,37,31,7384848,,
,12/04/2022,1:45 PM,3:00 PM,>Boys>Boys 7th Grade Division 3>Gainesville B7-  Jackson,Gainesville HS main ,Game,>Boys>Boys 7th Grade Division 2>Great Falls B7-2 Klein,,,23,72,7389860,,
,12/04/2022,2:15 PM,3:30 PM,>Boys>Boys 8th Grade Division 2 >Reston B8-2 Love,South Lakes HS left,Game,>Boys>Boys 8th Grade Division 2 >Springfield B8-2 Morrison,,,47,41,7388390,,
,12/04/2022,2:15 PM,3:30 PM,>Boys>Boys 8th Grade Division 3>Great Falls B8-* Karaki,West Springfield-Main,Game,>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Zippel,,,12,46,7388391,,
,12/04/2022,2:15 PM,3:30 PM,>Boys>Boys 6th Grade Division 1>Vienna B6-1 Nmah,West Springfield-#2,Game,>Boys>Boys 6th Grade Division 1>BRYC B6-1 Mitchell,,,24,38,7390297,,
,12/04/2022,2:15 PM,3:30 PM,>Boys>Boys 7th Grade Division 2>Turnpike B7-2 Taylor,Hayfield HS-#2,Game,>Boys>Boys 7th Grade Division 2>BRYC B7-2 Thanos,,,52,39,7389859,,
,12/04/2022,2:15 PM,3:30 PM,>Girls>Girls 7th Grade Division 1>CYA G7-1  Walker,Hayfield HS-#1,Game,>Girls>Girls 7th Grade Division 1>BRYC G7-1 Shin,,,33,25,7389655,,
,12/04/2022,2:15 PM,3:30 PM,>Girls>Girls 6th Grade Division 2>SYA G6 -* Johnson,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>Vienna G6-1 Amouri,,,13,42,7389998,,
,12/04/2022,2:15 PM,3:30 PM,>Boys>Boys 6th Grade Division 1>CYA B6-1 McNutt,South Lakes HS Right,Game,>Boys>Boys 6th Grade Division 1>Reston B6-1 Laureano,,,39,31,7390296,,
,12/04/2022,2:15 PM,3:15 PM,>Boys>Boys 7th Grade Division 2>Falls Church B7-2 Papadopoulos,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 7th Grade Division 2>Arlington B7-2 Parker,use door 11 located back of school,,57,24,7389861,,
,12/04/2022,2:30 PM,3:45 PM,>Boys>Boys 8th Grade Division 1>BRYC B8-1 Lee,Annandale HS-#1,Game,>Delete Division>BRYC B8-1 Smith dropped ,,CANCELLED,,,7387169,,
,12/04/2022,2:30 PM,3:45 PM,>Girls>Girls 8th Grade Division 1>McLean G8-1 Norton,Edison HS - Main,Game,>Girls>Girls 8th Grade Division 2>Springfield G8-* Allen,,,46,14,7387242,,
,12/04/2022,2:30 PM,3:45 PM,>Boys>Boys 7th Grade Division 1>South County B7-1 Brown,South County MS - Main,Game,>Boys>Boys 7th Grade Division 2>Vienna B7- * Leone,,,51,31,7388685,,
,12/04/2022,2:30 PM,3:45 PM,>Girls>Girls 7th Grade Division 2>BRYC G7-2 Shin,Annandale HS-#2,Game,>Girls>Girls 7th Grade Division 2>Reston G7 Altamirano,,,4,27,7389775,, score updated by Altamirano 12/05/22 
,12/04/2022,2:30 PM,3:45 PM,>Girls>Girls 8th Grade Division 2>Great Falls G8- 2 Hasan,Edison HS - Aux,Game,>Girls>Girls 8th Grade Division 2>CYA G8-2 Raptis,,,39,3,7387744,,
,12/04/2022,2:30 PM,3:45 PM,>Boys>Boys 6th Grade Division 3>FPYC B6-3 Ragan,Bryant Center,Game,>Boys>Boys 6th Grade Division 3>Burke B6-3 Tucker,,,38,30,7390167,,
,12/04/2022,3:00 PM,4:15 PM,>Boys>Boys 7th Grade Division 1>Gainesville B7-1 Dandrea,Gainesville HS main ,Game,>Boys>Boys 7th Grade Division 2>Burke B7-* Shouman,,,51,18,7388686,,
,12/04/2022,3:00 PM,4:15 PM,>Boys>Boys 5th grade Division 2>Gainesville B5- 2 Bellis,Gainesville HS side ,Game,>Boys>Boys 5th grade Division 2>Great Falls B5-2 Harper,,,35,13,7384863,,
,12/04/2022,3:30 PM,4:45 PM,>Boys>Boys 7th Grade Division 2>FPYC B7-2 Nickle,Hayfield HS-#2,Game,>Boys>Boys 7th Grade Division 3>Lee-Mt. Vernon B7-* Beisner,,,53,22,7389862,,
,12/04/2022,3:30 PM,4:45 PM,>Boys>Boys 6th Grade Division 3>Lee-Mt. Vernon B6-3 Degenhardt,Hayfield HS-#1,Game,>Boys>Boys 6th Grade Division 3>Manassas Park B6 3 Legions,,,39,45,7390170,,
,12/04/2022,3:30 PM,4:45 PM,>Girls>Girls 6th Grade Division 1>FPYC G6-1  Varner,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>CYA G6-1 Nichols,,,51,32,7389999,,
,12/04/2022,3:30 PM,4:45 PM,>Boys>Boys 7th Grade Division 3>Great Falls B7-3 Conver,South Lakes HS Right,Game,>Boys>Boys 7th Grade Division 3>CYA B7-3 Hackney,,,27,41,7389041,,
,12/04/2022,3:30 PM,4:30 PM,>Boys>Boys 7th Grade Division 1>McLean B7-1 Leggett,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 7th Grade Division 1>Arlington B7-1 Lowen,use door 11 located back of school,,46,42,7388684,,
,12/04/2022,3:30 PM,4:45 PM,>Boys>Boys 8th Grade Division 2 >Herndon B8-2 Mendelsohn,South Lakes HS left,Game,>Boys>Boys 8th Grade Division 2 >Falls Church B8-2 Greiner,,,39,44,7388384,,
,12/04/2022,3:30 PM,4:45 PM,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Wilson,West Springfield-#2,Game,>Boys>Boys 6th Grade Division 1>Lee-Mt. Vernon B6-1 Davis,,,29,44,7390298,,
,12/04/2022,3:45 PM,5:00 PM,>Boys>Boys 7th Grade Division 3>Reston  B7-3 Schlesinger,South County MS - Main,Game,>Boys>Boys 7th Grade Division 3>Springfield B7- 3 Carroll,,,33,56,7389040,,
,12/04/2022,3:45 PM,5:00 PM,>Boys>Boys 7th Grade Division 3>Herndon B7-3 Starinieri,Annandale HS-#2,Game,>Boys>Boys 7th Grade Division 3>Annandale B7-3 Gregory,,,23,28,7389042,,
,12/04/2022,3:45 PM,5:00 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Casey,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 2>Vienna B6-2 Powell.,,,34,26,7390484,,
,12/04/2022,3:45 PM,5:00 PM,>Delete Division>Herndon B6-3 Smith dropped,Bryant Center,Game,>Boys>Boys 6th Grade Division 3>Annandale B6-3 Hwang,,,10,40,7390168,,
,12/04/2022,3:45 PM,5:00 PM,>Boys>Boys 7th Grade Division 1>Reston  B7-1 Douad,Annandale HS-#1,Game,>Boys>Boys 7th Grade Division 1>Vienna B7-1 Stolburg,,,58,59,7388687,,
,12/04/2022,4:15 PM,5:30 PM,>Girls>Girls 6th Grade Division 2>Gainesville G6-2 Hiltner,Gainesville HS side ,Game,>Girls>Girls 6th Grade Division 2>Great Falls G6-2 Lonnett/Outlaw,,,17,19,7390065,,
