Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
7025478,12/11/2021,9:15 AM,10:30 AM,>Boys>Boys 5th grade Division 2>Turpike B5-2 Ours,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>South County 5-2 Arora,,,17,20,7026586,,
7025475,12/11/2021,10:15 AM,11:30 AM,>Boys>Boys 5th grade Division 2>Burke B5-2 Howard,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 1>Lee-Mt. Vernon B5- Davis,,,10,34,7026514,,
,12/11/2021,10:15 AM,11:30 AM,>Boys>Boys 6th Grade Division 2>Fort Belvoir B6-2 Sherm,Bryant Center,Game,>Boys>Boys 6th Grade Division 1>McLean B6- Borelli,,,6,43,7023951,,
,12/11/2021,10:15 AM,11:30 AM,>Girls>Girls 5th grade Division 1>Vienna G5-1 Korman,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>Great Falls G5-1 Lockheed,,,42,10,7024173,,
7025476,12/11/2021,10:30 AM,11:45 AM,>Boys>Boys 5th grade Division 2>CYA B5-2 Batta,Gum Springs CC,Game,>Boys>Boys 5th grade Division 2>Lee District B5-2 Diffenbach,,,26,37,7026521,,
7025477,12/11/2021,10:30 AM,11:45 AM,>Boys>Boys 5th grade Division 2>FPYC B5-2 Ragan,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Vienna B5-2 Davis,,,20,22,7026542,,
,12/11/2021,10:30 AM,11:45 AM,>Boys>Boys 6th Grade Division 1>Arlington B6-1 Jones,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 6th Grade Division 1>McLean B6-1 Leggett,,,44,39,7023778,,
,12/11/2021,11:30 AM,12:45 PM,>Boys>Boys 6th Grade Division 1>Vienna B6-1 Epps,Liberty MS-#1,Game,>Boys>Boys 6th Grade Division 1>Reston  B6-1 Douad,,,43,58,7023776,,
,12/11/2021,11:30 AM,12:45 PM,>Boys>Boys 5th grade Division 1>CYA B5-1 Lee,Bryant Center,Game,>Boys>Boys 5th grade Division 1>Fort Hunt B5-1 Casey,,,25,33,7024070,,
,12/11/2021,11:30 AM,12:45 PM,>Girls>Girls 5th grade Division 1>Burke G5-1 Warren,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>CYA G5-1 Nichols,,,23,6,7024174,,
7025480,12/11/2021,11:45 AM,1:00 PM,>Boys>Boys 5th grade Division 1>BRYC B5- Mitchell,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>McLean B5-2 Stephenson,,,40,17,7026507,,
,12/11/2021,11:45 AM,1:00 PM,>Boys>Boys 5th grade Division 1>Arlington B5-1 Sadaka,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 5th grade Division 1>McLean B5-1 Tallent,,,28,26,7024069,,
7025474,12/11/2021,11:45 AM,1:00 PM,>Boys>Boys 5th grade Division 2>Falls Church B5-2 Greiner,Gum Springs CC,Game,>Boys>Boys 5th grade Division 2>Gum Springs B5-2 Cordisco,,,45,23,7026528,,
,12/11/2021,12:45 PM,2:00 PM,>Girls>Girls 5th grade Division 1>Vienna G5-1 Brooks,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>McLean G5-1 Hazzan,,,15,28,7024175,,
,12/11/2021,12:45 PM,2:00 PM,>Girls>Girls 6th Grade Division 1>Burke G6-1 Jones,Liberty MS-#1,Game,>Girls>Girls 6th Grade Division 1>McLean G6-1 Mcnicoll,,,23,19,7026746,,
,12/11/2021,1:00 PM,2:15 PM,>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Conver,Jackson MS rear gym,Game,>Boys>Boys 6th Grade Division 2>Vienna B6-2 Leone,,,20,42,7023952,,
,12/11/2021,1:00 PM,2:15 PM,>Girls>Girls 7th Grade Division 1>Arlington G7-1 Lomas,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 7th Grade Division 1>Lee-Mt.Vernon G7-1 Breland,,,35,31,7026660,," Great game and environment. The basket wasn't friendly to LMV in the first half, but those girls battled back in a big way. "
,12/11/2021,2:00 PM,3:15 PM,>Girls>Girls 5th grade Division 1>Arlington G5-1 Sedor,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>Fort Hunt G5-1 Harris,,,28,6,7024176,, Game was well-officated and our families did a nice job of complying with the health & safety protocols.   
,12/11/2021,2:00 PM,3:15 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Igl,Liberty MS-#1,Game,>Girls>Girls 6th Grade Division 2>McLean G6-2 Gupta,,,32,17,7026800,,
,12/11/2021,2:15 PM,3:30 PM,>Girls>Girls 6th Grade Division 1>Arlington G6-1 Kaufman,Dorothy Hamm (Woodlawn),Game,>Girls>Girls 6th Grade Division 1>CYA G6-1  Walker,,,31,30,7026745,,
,12/11/2021,2:15 PM,3:30 PM,>Girls>Girls 6th Grade Division 2>BRYC G6-2 Shin,Jackson MS rear gym,Game,>Girls>Girls 6th Grade Division 2>SYA G6-2 Smith,,,22,24,7026799,,
,12/11/2021,2:15 PM,3:30 PM,>Boys>Boys 7th Grade Division 2>SYA B7-2 Livingston,Annandale HS-#2,Game,>Boys>Boys 7th Grade Division 2>BRYC B7-2 Sharma,,,21,42,7022151,,
,12/11/2021,2:15 PM,3:30 PM,>Girls>Girls 8th Grade Division 1>McLean G8-1 Megas,Annandale HS-#1,Game,>Girls>Girls 8th Grade Division 1>Vienna G8-1 Trotter,,,37,46,7023058,,
,12/11/2021,2:45 PM,4:00 PM,>Boys>Boys 8th Grade Division 1>Burke B8-1 Concepcion,Lake Braddock 4 far side,Game,>Boys>Boys 8th Grade Division 1>Vienna B8-1 Marsden,,,55,67,7021443,,
,12/11/2021,3:00 PM,3:30 PM,TBD,Jefferson HS-#2,no use,,,,,,7015100,,
,12/11/2021,3:00 PM,4:00 PM,TBD,Madison HS-Main,no use,,no use until 4pm,,,,7020622,,
,12/11/2021,3:15 PM,4:30 PM,>Boys>Boys 8th Grade Division 2 >Fort Belvoir B8-2 Taylor,Mount Vernon HS #1,Game,>Boys>Boys 8th Grade Division 2 >Burke B8-2 Mitchell,,,66,54,7021518,,
,12/11/2021,3:15 PM,4:30 PM,>Boys>Boys 6th Grade Division 2>CYA B6-2 Hackney,Hayfield HS-#2,Game,>Boys>Boys 6th Grade Division 2>South County B6-2 Brown,,,7,35,7023948,,
,12/11/2021,3:15 PM,4:30 PM,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Malesky,Jefferson HS-#1,Game,>Boys>Boys 8th Grade Division 3>Springfield B8-  Alvarez,,,51,29,7021514,,
7023126,12/11/2021,3:15 PM,4:30 PM,>Girls>Girls 8th Grade Division 2>Reston G8-2 Zeberlein,Hayfield HS-#1,Game,>Girls>Girls 8th Grade Division 1>Lee-Mt.Vernon G8-  Henderson,,,16,48,7024368,,
,12/11/2021,3:15 PM,4:30 PM,>Girls>Girls 6th Grade Division 1>Great Falls G6-1 Wilson,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 1>Fort Hunt G6-1 Langone,,,34,25,7026747,,
,12/11/2021,3:30 PM,4:45 PM,>Girls>Girls 7th Grade Division 1>Vienna G7-1 Yoder,Annandale HS-#1,Game,>Girls>Girls 7th Grade Division 1>McLean G7-1 Norton,,,25,35,7026658,,
,12/11/2021,3:30 PM,4:45 PM,>Boys>Boys 6th Grade Division 2>Falls Church B6-2 Papadopou,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 2>Reston  B6-2 Schlesinger,,,32,19,7023950,,
,12/11/2021,3:45 PM,5:00 PM,>Boys>Boys 7th Grade Division 2>Reston B7-2 Love,Jefferson HS-#2,Game,>Boys>Boys 7th Grade Division 2>Falls Church B7-2 Greiner,,,51,54,7022154,,
,12/11/2021,4:00 PM,5:15 PM,>Boys>Boys 8th Grade Division 1>BRYC B8-1 Gonzalez,Lake Braddock 4 far side,Game,>Boys>Boys 8th Grade Division 2 >BRYC B8- Shin,,,69,31,7021441,,
,12/11/2021,4:15 PM,5:30 PM,>Boys>Boys 8th Grade Division 2 >McLean B8-2 Riggins,Madison HS-Main,Game,>Boys>Boys 8th Grade Division 2 >Reston B8-2 Lansdowne,,,47,35,7021517,,
,12/11/2021,4:30 PM,5:45 PM,>Boys>Boys 6th Grade Division 2>BRYC B6-2 Thanos,Hayfield HS-#2,Game,>Boys>Boys 6th Grade Division 2>Turnpike B6-2 Taylor,,,28,53,7023953,,
,12/11/2021,4:30 PM,5:45 PM,>Boys>Boys 8th Grade Division 3>Lee-Mt. Vernon B8-3 Stewart,Mount Vernon HS #1,Game,>Boys>Boys 8th Grade Division 3>Mt. Vernon B8-2 Woodhall,,,,,7021859,,
7023127,12/11/2021,4:30 PM,5:45 PM,>Girls>Girls 8th Grade Division 2>SYA G8-2 Langford,Hayfield HS-#1,Game,>Girls>Girls 8th Grade Division 2>Burke G8-2 Hill,,,22,28,7024374,,
,12/11/2021,4:30 PM,5:45 PM,>Boys>Boys 8th Grade Division 3>Herndon B8-3 Hargadon,Jefferson HS-#1,Game,>Boys>Boys 8th Grade Division 3>Reston B8-3 Legler,,,44,45,7021856,,
,12/11/2021,4:45 PM,6:00 PM,>Boys>Boys 6th Grade Division 2>FPYC B6-2 Nickle,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 2>Herndon B6-2 Mathews,,,48,18,7023947,,
,12/11/2021,4:45 PM,6:00 PM,>Girls>Girls 7th Grade Division 1>CYA G7-1 Dowling,Annandale HS-#1,Game,>Girls>Girls 7th Grade Division 1>Lee District G7-1  Tickner,,,53,27,7026659,,
,12/11/2021,5:00 PM,6:15 PM,>Boys>Boys 7th Grade Division 2>McLean B7-2 Ball,Jefferson HS-#2,Game,>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Zippel,,,51,21,7022152,,
,12/11/2021,5:15 PM,6:30 PM,>Boys>Boys 7th Grade Division 2>Burke B7-1 DiSilvestro,Lake Braddock 4 far side,Game,>Boys>Boys 7th Grade Division 1>Reston B7-1 Byrnes,,,13,48,7021679,,
7023128,12/11/2021,5:30 PM,6:45 PM,>Girls>Girls 8th Grade Division 2>Turnpike G8-2 Zucker,Madison HS-Main,Game,>Girls>Girls 8th Grade Division 2>Vienna G8-2 Amouri,,,46,10,7024380,,
,12/11/2021,5:45 PM,7:00 PM,>Boys>Boys 8th Grade Division 3>Turnpike B8-3 Ours,Jefferson HS-#1,Game,>Boys>Boys 8th Grade Division 3>Burke B8- 3 Buttrey,,,53,36,7021858,,
,12/11/2021,5:45 PM,7:00 PM,>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Forti,Mount Vernon HS #1,Game,>Boys>Boys 8th Grade Division 2 >SYA B8-2 Hill,,,51,43,7021515,,
,12/11/2021,5:45 PM,7:00 PM,>Boys>Boys 7th Grade Division 2>Lee-Mt. Vernon B7-2 Henderson,Hayfield HS-#1,Game,>Boys>Boys 7th Grade Division 2>FPYC B7-2 Davis,,,22,53,7022150,,
,12/11/2021,5:45 PM,7:00 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Loving,Hayfield HS-#2,Game,>Boys>Boys 6th Grade Division 2>Lee-Mt. Vernon B6-2 Beisner,,,17,25,7023949,,
,12/11/2021,6:00 PM,7:15 PM,>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Garey,Annandale HS-#1,Game,>Girls>Girls 7th Grade Division 1>Great Falls G7-1 Rolph,,,43,16,7026661,,"Good game. Good refs except they were very strict about under tshirt matching uniform exactly. In addition, Great Falls coach had to confront next game teams and ask them to follow FCYBL rules and leave until game was over. Thanks to him. "
,12/11/2021,6:00 PM,7:15 PM,>Boys>Boys 8th Grade Division 3>CYA B8-3 Carr,Annandale HS-#2,Game,>Boys>Boys 8th Grade Division 3>Annandale B8-3 Juan,,,30,42,7021860,,Chantilly 30 - Annandale 42
,12/11/2021,6:15 PM,7:30 PM,>Boys>Boys 7th Grade Division 2>Springfield B7-2 Morrison,Jefferson HS-#2,Game,>Boys>Boys 7th Grade Division 2>CYA B7-2 Atkinson,,,59,26,7022153,,
,12/11/2021,6:30 PM,7:45 PM,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,Lake Braddock 4 far side,Game,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Klein,,,53,39,7023777,,
,12/11/2021,6:45 PM,8:00 PM,>Girls>Girls 7th Grade Division 2>Burke G7-2 Edwards,Madison HS-Main,Game,>Girls>Girls 7th Grade Division 1>McLean G7- Kim,,,17,35,7026717,,
,12/11/2021,7:00 PM,8:15 PM,>Boys>Boys 8th Grade Division 2 >Vienna B8-2 Choi,Mount Vernon HS #1,Game,>Boys>Boys 8th Grade Division 3>Falls Church B8-  Kusic,,,57,39,7021516,,
,12/11/2021,7:00 PM,8:15 PM,>Boys>Boys 8th Grade Division 3>Great Falls B8-3 Britt,Jefferson HS-#1,Game,>Boys>Boys 8th Grade Division 3>SYA B8-2 Vickers,,,44,26,7021857,,
,12/11/2021,7:15 PM,8:30 PM,>Girls>Girls 7th Grade Division 2>Reston G7-2 Eckhardt,Annandale HS-#1,Game,>Girls>Girls 7th Grade Division 2>Springfield G7-2 Allen,,,25,17,7026718,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 8th Grade Division 1>Great Falls B8-1 Brown,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>McLean B8-1 Jackson,,,70,37,7021442,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 5th grade Division 1>Vienna B5-1 Locey,Westfield HS-#2 (N),Game,>Boys>Boys 5th grade Division 1>Great Falls B5-1 Clarke,,,27,18,7024075,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 7th Grade Division 1>South County B7-1 Miller,South County MS - Main,Game,>Boys>Boys 7th Grade Division 1>Lee District CC B7-1 Love,,,44,51,7021656,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 8th Grade Division 2 >SYA B8-2 Hill,Bryant Center,Game,>Boys>Boys 8th Grade Division 2 >Fort Belvoir B8-2 Taylor,,,47,57,7021523,,
7023120,12/12/2021,12:00 PM,1:15 PM,>Girls>Girls 8th Grade Division 2>Vienna G8-2 Amouri,Annandale HS-#2,Game,>Girls>Girls 8th Grade Division 2>Burke G8-2 Hill,,,15,55,7024386,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 6th Grade Division 2>FPYC B6-2 Nickle,Lee HS-Aux,Game,>Boys>Boys 6th Grade Division 2>Vienna B6-2 Leone,,,19,20,7023964,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 6th Grade Division 1>Vienna B6-1 Epps,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Klein,,,36,41,7023784,,
,12/12/2021,12:00 PM,1:15 PM,>Boys>Boys 8th Grade Division 3>Lee-Mt. Vernon B8-3 Stewart,Lewis HS-Main (was lee),Game,>Boys>Boys 8th Grade Division 3>Turnpike B8-3 Ours,,,44,50,7021862,,
,12/12/2021,12:00 PM,1:15 PM,>Girls>Girls 5th grade Division 1>CYA G5-1 Nichols,Westfield HS-#1 (N),Game,>Girls>Girls 5th grade Division 1>Fort Hunt G5-1 Harris,,,14,18,7024168,,
,12/12/2021,12:15 PM,1:30 PM,>Boys>Boys 8th Grade Division 2 >Burke B8-2 Mitchell,Mary Ellen Henderson MS,Game,>Boys>Boys 8th Grade Division 3>Falls Church B8-  Kusic,,,47,40,7021521,,
,12/12/2021,1:00 PM,2:15 PM,>Girls>Girls 6th Grade Division 2>FPYC G6-2 Varner,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 2>SYA G6-2 Smith,,,40,12,7026795,,
,12/12/2021,1:00 PM,2:15 PM,>Girls>Girls 8th Grade Division 1>Vienna G8-1 Trotter,West Springfield-Main,Game,>Girls>Girls 8th Grade Division 2>Great Falls G8- Exley,,,46,12,7023062,,
,12/12/2021,1:00 PM,2:15 PM,>Girls>Girls 7th Grade Division 2>Springfield G7-2 Allen,Hayfield HS-#2,Game,>Girls>Girls 7th Grade Division 1>McLean G7- Kim,,,10,40,7026721,,
,12/12/2021,1:00 PM,2:15 PM,>Girls>Girls 7th Grade Division 1>Vienna G7-1 Yoder,Hayfield HS-#1,Game,>Girls>Girls 7th Grade Division 1>Lee District G7-1  Tickner,,,32,38,7026666,,
,12/12/2021,1:00 PM,2:15 PM,>Boys>Boys 7th Grade Division 2>Herndon B7-2 Mendelsohn,West Springfield-#2,Game,>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Zippel,,,38,40,7022169,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 1>SYA  B7-1 Pilon,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>Great Falls B7-1 Goldburg,,,,,7021657,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 2>CYA B6- Goodman,,,33,30,7023785,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 2 >Reston B8-2 Lansdowne,South Lakes HS Right,Game,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Malesky,,,67,62,7021522,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 5th grade Division 1>Burke B5-1 Raybon,Westfield HS-#2 (N),Game,>Boys>Boys 5th grade Division 1>CYA B5-1 Lee,,,41,33,7024076,,
7023121,12/12/2021,1:15 PM,2:30 PM,>Girls>Girls 8th Grade Division 2>SYA G8-2 Langford,Annandale HS-#2,Game,>Girls>Girls 8th Grade Division 2>McLean G8-2 Hueber,,,22,25,7024375,, 
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 1>BRYC B7-1 Lee,South County MS - Main,Game,>Boys>Boys 7th Grade Division 2>Burke B7-1 DiSilvestro,,,57,30,7021658,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 2 >BRYC B8- Shin,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>Arlington B8-1 Lowen,,,35,71,7021446,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 2>Gum Springs B7-2 Sanders,Bryant Center,Game,>Boys>Boys 7th Grade Division 2>FPYC B7-2 Davis,,,44,57,7022167,,
,12/12/2021,1:15 PM,2:30 PM,>Girls>Girls 5th grade Division 1>Burke G5-1 Warren,Westfield HS-#1 (N),Game,>Girls>Girls 5th grade Division 1>Great Falls G5-1 Lockheed,,,21,23,7024166,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Loving,Lee HS-Aux,Game,>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Conver,,,32,33,7023966,,
,12/12/2021,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 3>Mt. Vernon B8-2 Woodhall,Lewis HS-Main (was lee),Game,>Boys>Boys 8th Grade Division 3>Herndon B8-3 Hargadon,,,51,43,7021864,,
,12/12/2021,1:30 PM,2:45 PM,>Boys>Boys 7th Grade Division 2>Lee-Mt. Vernon B7-2 Henderson,Mary Ellen Henderson MS,Game,>Boys>Boys 7th Grade Division 2>Falls Church B7-2 Greiner,,,19,57,7022164,,
,12/12/2021,2:15 PM,3:30 PM,>Girls>Girls 8th Grade Division 1>Burke G8-1 Coutinho,West Springfield-Main,Game,>Girls>Girls 8th Grade Division 1>CYA G8-1 Brault,,,58,27,7023063,,
,12/12/2021,2:15 PM,3:30 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Igl,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 2>BRYC G6-2 Shin,,,19,31,7026796,,
,12/12/2021,2:15 PM,3:30 PM,>Girls>Girls 7th Grade Division 1>CYA G7-1 Dowling,Hayfield HS-#1,Game,>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Garey,,,25,39,7026667,,Good competitive game. Refs were good. 
,12/12/2021,2:15 PM,3:30 PM,>Girls>Girls 7th Grade Division 2>Reston G7-2 Eckhardt,Hayfield HS-#2,Game,>Girls>Girls 7th Grade Division 2>Burke G7-2 Edwards,,,19,24,7026722,,
,12/12/2021,2:15 PM,3:30 PM,>Boys>Boys 6th Grade Division 2>Fort Belvoir B6-2 Sherm,West Springfield-#2,Game,>Boys>Boys 6th Grade Division 2>Herndon B6-2 Mathews,,,30,25,7023961,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 8th Grade Division 1>CYA B8-1 Jones,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>Springfield B8-1 Alvarez,,,65,70,7021444,,
7025460,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 5th grade Division 2>FPYC B5-2 Ragan,Bryant Center,Game,>Boys>Boys 5th grade Division 2>Gum Springs B5-2 Cordisco,,,43,35,7026543,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 8th Grade Division 3>Reston B8-3 Legler,South Lakes HS Right,Game,>Boys>Boys 8th Grade Division 3>Great Falls B8-3 Britt,,,16,49,7021861,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 6th Grade Division 1>Arlington B6-1 Jones,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 1>Fort Hunt B6-1 Estenson,,,34,8,7023787,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 7th Grade Division 2>Springfield B7-2 Morrison,South County MS - Main,Game,>Boys>Boys 7th Grade Division 1>Arlington B7-1 McLean,,,13,45,7022163,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 7th Grade Division 2>SYA B7-2 Livingston,Annandale HS-#2,Game,>Boys>Boys 7th Grade Division 2>Vienna B7-2 Desenti,,,32,30,7022168,,
7025461,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 5th grade Division 2>Burke B5-2 Howard,Westfield HS-#1 (N),Game,>Boys>Boys 5th grade Division 2>South County 5-2 Arora,,,14,30,7026515,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 7th Grade Division 1>Vienna B7-1 Stolburg,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>CYA B7-1 Rosenblatt,,,44,19,7021660,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 5th grade Division 2>SYA B5- Chase,Westfield HS-#2 (N),Game,>Boys>Boys 5th grade Division 1>McLean B5-1 Tallent,,,18,29,7024077,,
,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 8th Grade Division 3>Annandale B8-3 Juan,Lewis HS-Main (was lee),Game,>Boys>Boys 8th Grade Division 3>Burke B8- 3 Buttrey,,,55,32,7021863,,
7025466,12/12/2021,2:30 PM,3:45 PM,>Boys>Boys 5th grade Division 1>BRYC B5- Mitchell,Lee HS-Aux,Game,>Boys>Boys 5th grade Division 2>Turpike B5-2 Ours,,,53,32,7026508,,
