CsvRow(db_id=7387165, date='2022-11-28', real_date=datetime.datetime(2022, 11, 28, 0, 0), team='>Boys>Boys 8th Grade Division 1>Lee Mt. Vernon B8-1 Bosley', opponent='>Boys>Boys 8th Grade Division 1>McLean B8-1 Harley', points=39, against=78, error=False)
CsvRow(db_id=7388360, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Herndon B8-2 Mendelsohn', opponent='>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Zippel', points=35, against=32, error=False)
CsvRow(db_id=7389033, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 7th Grade Division 3>SYA B7-3 Sorg', opponent='>Boys>Boys 7th Grade Division 3>Great Falls B7-3 Conver', points=38, against=34, error=False)
CsvRow(db_id=7388678, date='2022-11-30', real_date=datetime.datetime(2022, 11, 30, 0, 0), team='>Boys>Boys 7th Grade Division 1>Reston  B7-1 Douad', opponent='>Boys>Boys 7th Grade Division 2>Burke B7-* Shouman', points=55, against=23, error=False)
CsvRow(db_id=7389034, date='2022-12-01', real_date=datetime.datetime(2022, 12, 1, 0, 0), team='>Boys>Boys 7th Grade Division 3>Springfield B7- 3 Carroll', opponent='>Boys>Boys 7th Grade Division 3>Annandale B7-3 Gregory', points=17, against=26, error=False)
CsvRow(db_id=7389032, date='2022-12-01', real_date=datetime.datetime(2022, 12, 1, 0, 0), team='>Boys>Boys 7th Grade Division 3>Reston  B7-3 Schlesinger', opponent='>Boys>Boys 7th Grade Division 3>CYA B7-3 Hackney', points=21, against=37, error=False)
CsvRow(db_id=7389991, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 1>McLean G6-1 Hazzan', opponent='>Girls>Girls 6th Grade Division 1>CYA G6-1 Nichols', points=20, against=26, error=False)
CsvRow(db_id=7389989, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 1>Gainesville G6-1 Murray', opponent='>Girls>Girls 6th Grade Division 1>Fort Hunt G6-1 Harris', points=27, against=26, error=False)
CsvRow(db_id=7390056, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>Turnpike G6-2 Conklin', opponent='>Girls>Girls 6th Grade Division 1>DYS G6-1* Cook', points=6, against=38, error=False)
CsvRow(db_id=7389990, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>SYA G6 -* Johnson', opponent='>Girls>Girls 6th Grade Division 1>Burke G6-1 Buttery', points=14, against=23, error=False)
CsvRow(db_id=7390289, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 1>Vienna B6-1 Nmah', opponent='>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon', points=28, against=19, error=False)
CsvRow(db_id=7389992, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 1>Vienna G6-1 Amouri', opponent='>Girls>Girls 6th Grade Division 1>Vienna G6-1 Brooks', points=36, against=16, error=False)
CsvRow(db_id=7390175, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 3>FPYC B6-3 Ragan', opponent='>Boys>Boys 6th Grade Division 3>Annandale B6-3 Hwang', points=33, against=16, error=False)
CsvRow(db_id=7388382, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Gum Springs B8-2 Smith', opponent='>Boys>Boys 8th Grade Division 2 >Fort Belvoir B8-2 Taylor', points=68, against=33, error=False)
CsvRow(db_id=7389771, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 7th Grade Division 2>Arlington G7-2 Scarcella', opponent='>Girls>Girls 7th Grade Division 1>Arlington G7-1 Sedor', points=5, against=37, error=False)
CsvRow(db_id=7390494, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>Falls Church B6-2 Greiner', opponent='>Boys>Boys 6th Grade Division 1>Turnpike B6- Ours', points=25, against=50, error=False)
CsvRow(db_id=7390177, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 3>Fort Belvoir B6-3 Serm', opponent='>Boys>Boys 6th Grade Division 3>BRYC B6-3 Brown.', points=17, against=34, error=False)
CsvRow(db_id=7390053, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>Burke G6-2 Thomas', opponent='>Girls>Girls 6th Grade Division 1>Arlington G6-* Gary', points=2, against=33, error=False)
CsvRow(db_id=7390495, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>Gainesville B6-2 Siguere', opponent='>Boys>Boys 6th Grade Division 2>Springfield B6-2 Osborne', points=36, against=17, error=False)
CsvRow(db_id=7390286, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 1>CYA B6-1 McNutt', opponent='>Boys>Boys 6th Grade Division 1>BRYC B6-1 Mitchell', points=48, against=51, error=False)
CsvRow(db_id=7390054, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>Gainesville G6-2 Hiltner', opponent='>Girls>Girls 6th Grade Division 2>McLean G6-2 Morneau', points=12, against=7, error=False)
CsvRow(db_id=7390178, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 3>Gum Springs B6-3 Cordisco', opponent='>Boys>Boys 6th Grade Division 3>Manassas Park B6 3 Legions', points=36, against=40, error=False)
CsvRow(db_id=7390497, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>Lee District B6-2 Diffenbach', opponent='>Boys>Boys 6th Grade Division 2>McLean B6-2 Klett', points=26, against=16, error=False)
CsvRow(db_id=7388385, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Manassas Park B8-2 Gaskins', opponent='>Boys>Boys 8th Grade Division 2 >CYA B8-2 Weinstein', points=50, against=33, error=False)
CsvRow(db_id=7390496, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Casey', opponent='>Boys>Boys 6th Grade Division 2>SYA B6-2 Purdy', points=47, against=45, error=False)
CsvRow(db_id=7390057, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>Great Falls G6-2 Lonnett/Outlaw', opponent='>Girls>Girls 6th Grade Division 2>Herndon G6-2 Williams', points=33, against=16, error=False)
CsvRow(db_id=7390290, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 1>Lee Mt. Vernon B6-1 Davis', opponent='>Boys>Boys 6th Grade Division 1>McLean B6-1 Tallent', points=41, against=21, error=False)
CsvRow(db_id=7390499, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Hankins', opponent='>Boys>Boys 6th Grade Division 2>South County B6-2 Coleman', points=28, against=23, error=False)
CsvRow(db_id=7388781, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 8th Grade Division 3>Lee Mt. Vernon B8-3 Henderson', opponent='>Boys>Boys 8th Grade Division 3>Manassas Park B8- 3 Hockman', points=0, against=0, error=False)
CsvRow(db_id=7390287, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Wilson', opponent='>Boys>Boys 6th Grade Division 1>Reston B6-1 Laureano', points=37, against=43, error=False)
CsvRow(db_id=7390055, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Girls>Girls 6th Grade Division 2>CYA G6-2 Ballam', opponent='>Girls>Girls 6th Grade Division 2>Annandale G6-2 Williams', points=33, against=27, error=False)
CsvRow(db_id=7390498, date='2022-12-03', real_date=datetime.datetime(2022, 12, 3, 0, 0), team='>Boys>Boys 6th Grade Division 2>CYA B6-2 Kim', opponent='>Boys>Boys 6th Grade Division 2>Vienna B6-2 Powell.', points=16, against=40, error=False)
CsvRow(db_id=7390063, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 2>Burke G6-2 Thomas', opponent='>Girls>Girls 6th Grade Division 2>Turnpike G6-2 Conklin', points=28, against=4, error=False)
CsvRow(db_id=7389774, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 2>Arlington G7-2 Scarcella', opponent='>Girls>Girls 7th Grade Division 2>SYA G7-2 Henryhand', points=7, against=31, error=False)
CsvRow(db_id=7387166, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 1>Arlington B8-1 McLean', opponent='>Boys>Boys 8th Grade Division 1>CYA B8-1 Rosenblatt', points=49, against=56, error=False)
CsvRow(db_id=7387742, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 2>Lee District G8- 2 Tickner', opponent='>Girls>Girls 8th Grade Division 2>Burke G8-2 Zahui', points=47, against=17, error=False)
CsvRow(db_id=7388387, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Vienna B8-2 Desenti', opponent='>Boys>Boys 8th Grade Division 2 >South County B8-2 Miller', points=42, against=44, error=False)
CsvRow(db_id=7390169, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 3>Gum Springs B6-3 Cordisco', opponent='>Boys>Boys 6th Grade Division 3>BRYC B6-3 Brown.', points=36, against=22, error=False)
CsvRow(db_id=7387241, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 1>SYA G8-1 Andersen', opponent='>Girls>Girls 8th Grade Division 1>CYA G8-1 Dowling', points=47, against=36, error=False)
CsvRow(db_id=7390064, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 2>McLean G6-2 Morneau', opponent='>Girls>Girls 6th Grade Division 2>CYA G6-2 Ballam', points=28, against=16, error=False)
CsvRow(db_id=7390067, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 1>DYS G6-1* Cook', opponent='>Girls>Girls 6th Grade Division 2>Herndon G6-2 Williams', points=27, against=17, error=False)
CsvRow(db_id=7389656, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Langone', opponent='>Girls>Girls 7th Grade Division 1>Arlington G7-1 Kaufman', points=30, against=26, error=False)
CsvRow(db_id=7389858, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Estenson', opponent='>Boys>Boys 7th Grade Division 2>McLean B7-2 Berusch', points=49, against=33, error=False)
CsvRow(db_id=7389653, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 1>Vienna G7-1 Yoder', opponent='>Girls>Girls 7th Grade Division 1>Burke G7-1 Jones', points=29, against=22, error=False)
CsvRow(db_id=7390299, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon', opponent='>Boys>Boys 6th Grade Division 1>Arlington B6-1 Escherick', points=31, against=47, error=False)
CsvRow(db_id=7388380, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Mt. Vernon B8-2 Woodhall', opponent='>Boys>Boys 8th Grade Division 3>SYA B8-* White', points=59, against=25, error=False)
CsvRow(db_id=7387743, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 2>Reston G8-2 Altamirano', opponent='>Girls>Girls 8th Grade Division 2>Turnpike G8-2 Zucker', points=36, against=3, error=False)
CsvRow(db_id=7387745, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 2>Mt. Vernon G8-2 Gorman', opponent='>Girls>Girls 8th Grade Division 2>Vienna G8- 2 Tomlinson', points=11, against=25, error=False)
CsvRow(db_id=7387243, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Garey', opponent='>Girls>Girls 8th Grade Division 1>Burke G8-1 Zahui.', points=52, against=44, error=False)
CsvRow(db_id=7390300, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 1>Gainesville B6-1 Torco', opponent='>Boys>Boys 6th Grade Division 1>McLean B6-1 Tallent', points=44, against=22, error=False)
CsvRow(db_id=7389039, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 3>SYA B7-3 Sorg', opponent='>Boys>Boys 7th Grade Division 3>Fort Hunt B7-3 Loving', points=22, against=42, error=False)
CsvRow(db_id=7390000, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 1>McLean G6-1 Hazzan', opponent='>Girls>Girls 6th Grade Division 1>Vienna G6-1 Brooks', points=32, against=31, error=False)
CsvRow(db_id=7387168, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 1>Lee Mt. Vernon B8-1 Bosley', opponent='>Boys>Boys 8th Grade Division 1>Vienna B8-1 Marsden', points=42, against=69, error=False)
CsvRow(db_id=7390066, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 2>BRYC G6-2 Suddarth', opponent='>Girls>Girls 6th Grade Division 2>Annandale G6-2 Williams', points=18, against=21, error=False)
CsvRow(db_id=7389860, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 3>Gainesville B7-  Jackson', opponent='>Boys>Boys 7th Grade Division 2>Great Falls B7-2 Klein', points=23, against=72, error=False)
CsvRow(db_id=7388391, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 3>Great Falls B8-* Karaki', opponent='>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Zippel', points=12, against=46, error=False)
CsvRow(db_id=7388390, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Reston B8-2 Love', opponent='>Boys>Boys 8th Grade Division 2 >Springfield B8-2 Morrison', points=47, against=41, error=False)
CsvRow(db_id=7390297, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 1>Vienna B6-1 Nmah', opponent='>Boys>Boys 6th Grade Division 1>BRYC B6-1 Mitchell', points=24, against=38, error=False)
CsvRow(db_id=7389655, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 1>CYA G7-1  Walker', opponent='>Girls>Girls 7th Grade Division 1>BRYC G7-1 Shin', points=33, against=25, error=False)
CsvRow(db_id=7389859, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 2>Turnpike B7-2 Taylor', opponent='>Boys>Boys 7th Grade Division 2>BRYC B7-2 Thanos', points=52, against=39, error=False)
CsvRow(db_id=7389998, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 2>SYA G6 -* Johnson', opponent='>Girls>Girls 6th Grade Division 1>Vienna G6-1 Amouri', points=13, against=42, error=False)
CsvRow(db_id=7390296, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 1>CYA B6-1 McNutt', opponent='>Boys>Boys 6th Grade Division 1>Reston B6-1 Laureano', points=39, against=31, error=False)
CsvRow(db_id=7389861, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 2>Falls Church B7-2 Papadopoulos', opponent='>Boys>Boys 7th Grade Division 2>Arlington B7-2 Parker', points=57, against=24, error=False)
CsvRow(db_id=7388685, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 1>South County B7-1 Brown', opponent='>Boys>Boys 7th Grade Division 2>Vienna B7- * Leone', points=51, against=31, error=False)
CsvRow(db_id=7387242, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 1>McLean G8-1 Norton', opponent='>Girls>Girls 8th Grade Division 2>Springfield G8-* Allen', points=46, against=14, error=False)
CsvRow(db_id=7389775, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 2>BRYC G7-2 Shin', opponent='>Girls>Girls 7th Grade Division 2>Reston G7-2 Altamirano', points=4, against=27, error=False)
CsvRow(db_id=7387744, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 2>Great Falls G8- 2 Hasan', opponent='>Girls>Girls 8th Grade Division 2>CYA G8-2 Raptis', points=39, against=3, error=False)
CsvRow(db_id=7390167, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 3>FPYC B6-3 Ragan', opponent='>Boys>Boys 6th Grade Division 3>Burke B6-3 Tucker', points=38, against=30, error=False)
CsvRow(db_id=7388686, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 1>Gainesville B7-1 Dandrea', opponent='>Boys>Boys 7th Grade Division 2>Burke B7-* Shouman', points=51, against=18, error=False)
CsvRow(db_id=7389862, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 2>FPYC B7-2 Nickle', opponent='>Boys>Boys 7th Grade Division 3>Lee Mt. Vernon B7-* Beisner', points=53, against=22, error=False)
CsvRow(db_id=7390170, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 3>Lee Mt. Vernon B6-3 Degenhardt', opponent='>Boys>Boys 6th Grade Division 3>Manassas Park B6 3 Legions', points=39, against=45, error=False)
CsvRow(db_id=7389999, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 1>FPYC G6-1  Varner', opponent='>Girls>Girls 6th Grade Division 1>CYA G6-1 Nichols', points=51, against=32, error=False)
CsvRow(db_id=7389041, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 3>Great Falls B7-3 Conver', opponent='>Boys>Boys 7th Grade Division 3>CYA B7-3 Hackney', points=27, against=41, error=False)
CsvRow(db_id=7388684, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 1>McLean B7-1 Leggett', opponent='>Boys>Boys 7th Grade Division 1>Arlington B7-1 Lowen', points=46, against=42, error=False)
CsvRow(db_id=7388384, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 2 >Herndon B8-2 Mendelsohn', opponent='>Boys>Boys 8th Grade Division 2 >Falls Church B8-2 Greiner', points=39, against=44, error=False)
CsvRow(db_id=7390298, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Wilson', opponent='>Boys>Boys 6th Grade Division 1>Lee Mt. Vernon B6-1 Davis', points=29, against=44, error=False)
CsvRow(db_id=7389042, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 3>Herndon B7-3 Starinieri', opponent='>Boys>Boys 7th Grade Division 3>Annandale B7-3 Gregory', points=23, against=28, error=False)
CsvRow(db_id=7389040, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 3>Reston  B7-3 Schlesinger', opponent='>Boys>Boys 7th Grade Division 3>Springfield B7- 3 Carroll', points=33, against=56, error=False)
CsvRow(db_id=7390484, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Casey', opponent='>Boys>Boys 6th Grade Division 2>Vienna B6-2 Powell.', points=34, against=26, error=False)
CsvRow(db_id=7388687, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 7th Grade Division 1>Reston  B7-1 Douad', opponent='>Boys>Boys 7th Grade Division 1>Vienna B7-1 Stolburg', points=58, against=59, error=False)
CsvRow(db_id=7390065, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 6th Grade Division 2>Gainesville G6-2 Hiltner', opponent='>Girls>Girls 6th Grade Division 2>Great Falls G6-2 Lonnett/Outlaw', points=17, against=19, error=False)
CsvRow(db_id=7388782, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 3>Gainesville B8-3 Brown', opponent='>Boys>Boys 8th Grade Division 3>Burke B8- 3 DiSilvestro', points=22, against=53, error=False)
CsvRow(db_id=7389654, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 7th Grade Division 1>Great Falls G7-1 Wilson', opponent='>Girls>Girls 7th Grade Division 1>McLean G7- 1 Megas', points=41, against=24, error=False)
CsvRow(db_id=7387244, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Girls>Girls 8th Grade Division 1>McLean G8-1 Kim', opponent='>Girls>Girls 8th Grade Division 1>Arlington G8-1 Hall', points=29, against=26, error=False)
CsvRow(db_id=7390487, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 2>McLean B6-2 Klett', opponent='>Boys>Boys 6th Grade Division 2>South County B6-2 Coleman', points=19, against=44, error=False)
CsvRow(db_id=7390485, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Hankins', opponent='>Boys>Boys 6th Grade Division 2>SYA B6-2 Purdy', points=27, against=26, error=False)
CsvRow(db_id=7388780, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 3>Turnpike B8-3 Syron', opponent='>Boys>Boys 8th Grade Division 3>CYA B8-3 Hessell', points=55, against=40, error=False)
CsvRow(db_id=7390483, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 6th Grade Division 2>Lee District B6-2 Diffenbach', opponent='>Boys>Boys 6th Grade Division 2>Springfield B6-2 Osborne', points=30, against=16, error=False)
CsvRow(db_id=7388783, date='2022-12-04', real_date=datetime.datetime(2022, 12, 4, 0, 0), team='>Boys>Boys 8th Grade Division 3>Herndon B8-3 Baker', opponent='>Boys>Boys 8th Grade Division 2 >Arlington B8-2+ Davis', points=13, against=42, error=False)
